artist_name,channel_name,channel_url,channel_id
16 Typh,16 Typh,https://www.youtube.com/channel/UCG44ngVzqC1Jp_WBWOvNx1g,UCG44ngVzqC1Jp_WBWOvNx1g
1989s Entertainment,1989s Entertainment,https://www.youtube.com/channel/UCMfrkPs1AWGAGjy1dyps4NA,UCMfrkPs1AWGAGjy1dyps4NA
2pillz,2Pillz,https://www.youtube.com/channel/UCUWooghOVuNqmh6pnTB4FLw,UCUWooghOVuNqmh6pnTB4FLw
ACV Entertainment,ACV Entertainment,https://www.youtube.com/@ACVEntertainment1990,@ACVEntertainment1990
Mew Amazing,Mew Amazing,https://www.youtube.com/@MewAmazing,@MewAmazing
Thanh Lam,Thanh Lam - Topic,https://www.youtube.com/channel/UCKi_4mSSHMX6iW_Kt7DOROg,UCKi_4mSSHMX6iW_Kt7DOROg
Trungg I.U,Trungg I.U,https://www.youtube.com/channel/UCux8a-VMNv7qxYR8wMcdFpQ,UCux8a-VMNv7qxYR8wMcdFpQ
Massew,Masew,https://www.youtube.com/channel/UCpm6kKrf5OdNRZ9hMgk3gsA,UCpm6kKrf5OdNRZ9hMgk3gsA
AMEE,AMEE,https://www.youtube.com/channel/UCCF91sLycgCnTMUN6nNwEGQ,UCCF91sLycgCnTMUN6nNwEGQ
Akira Phan,Akira Phan,https://www.youtube.com/channel/UCNKqApiJz3KVAwGftgPuKFw,UCNKqApiJz3KVAwGftgPuKFw
Ali Hoàng Dương,Ali Hoàng Dương Official,https://www.youtube.com/channel/UCgBoAULW29LsFybsQ8FgIdg,UCgBoAULW29LsFybsQ8FgIdg
Andiez,Andiez Music,https://www.youtube.com/channel/UC1FBkKvvTRfKLHAfK2dJstA,UC1FBkKvvTRfKLHAfK2dJstA
Anh Tú,Anh Tú Official,https://www.youtube.com/channel/UC880HMJNGxiZQk029rcWWJQ,UC880HMJNGxiZQk029rcWWJQ
Anh Tú Atus,Anh Tú Atus,https://www.youtube.com/channel/UClziWHOBs23kOnJdvAjEPbA,UClziWHOBs23kOnJdvAjEPbA
Võ Hạ Trâm,Vo Ha Tram Official,https://www.youtube.com/@VoHaTramOfficial,@VoHaTramOfficial
B Ray,EvB Records,https://www.youtube.com/@EvBRecords,@EvBRecords
BigDaddy,BIGDADDY x EMILY,https://www.youtube.com/channel/UCA04cVd_BBgQGgOkfU1megA,UCA04cVd_BBgQGgOkfU1megA
Binz,Binz Da Poet,https://www.youtube.com/channel/UC0IpGYsi1KVorZ7QVCHfdag,UC0IpGYsi1KVorZ7QVCHfdag
Blacka,Blacka Official,https://www.youtube.com/channel/UCQO9dnXhWStPxPp4D0DH5Sg,UCQO9dnXhWStPxPp4D0DH5Sg
Bình Gold,Bình Gold,https://www.youtube.com/channel/UC3mG4KEY2zkSemb1LunN97w,UC3mG4KEY2zkSemb1LunN97w
Bích Phương,BÍCH PHƯƠNG,https://www.youtube.com/channel/UC90LfbAFYhRLh86Qd-Fs4zg,UC90LfbAFYhRLh86Qd-Fs4zg
Pháo,Pháo Northside,https://www.youtube.com/channel/UC3F3hDIob1s0rE66feKjqYg,UC3F3hDIob1s0rE66feKjqYg
Bùi Anh Tuấn,Bùi Anh Tuấn,https://www.youtube.com/channel/UCx4B5Awm-hVnW6lMiEsomYA,UCx4B5Awm-hVnW6lMiEsomYA
Bùi Công Nam,Bùi Công Nam,https://www.youtube.com/channel/UCtlmegSTDZ2xcsyVeBGG1jA,UCtlmegSTDZ2xcsyVeBGG1jA
Bùi Lan Hương,BÙI LAN HƯƠNG,https://www.youtube.com/channel/UCXbZIcKb1tVIR_ICD6TjCuw,UCXbZIcKb1tVIR_ICD6TjCuw
Bạch Công Khanh,Bạch Công Khanh Official,https://www.youtube.com/channel/UCxRYuWnq4PoOMGkhQw9rM2Q,UCxRYuWnq4PoOMGkhQw9rM2Q
Bảo Anh,Bảo Anh,https://www.youtube.com/channel/UCRWrdiC0N2AFnDfbfgy2-7w,UCRWrdiC0N2AFnDfbfgy2-7w
